iter	Passed	Remaining
369	1044	1777
370	1046	1775
371	1049	1771
372	1051	1768
373	1053	1763
374	1056	1760
375	1058	1756
376	1060	1751
377	1062	1748
378	1064	1744
379	1067	1741
380	1069	1737
381	1072	1734
382	1074	1731
383	1077	1729
384	1080	1725
385	1082	1721
386	1085	1719
387	1087	1715
388	1089	1711
389	1091	1707
390	1094	1704
391	1096	1700
392	1098	1697
393	1101	1694
394	1104	1691
395	1106	1688
396	1109	1684
397	1111	1681
398	1114	1678
399	1116	1674
400	1119	1671
401	1121	1668
402	1124	1665
403	1127	1662
404	1129	1658
405	1131	1655
406	1134	1653
407	1137	1650
408	1139	1646
409	1142	1643
410	1144	1639
411	1146	1636
412	1149	1633
413	1152	1630
414	1153	1626
415	1155	1622
416	1158	1619
417	1160	1615
418	1163	1612
419	1166	1610
420	1168	1607
421	1171	1604
422	1173	1601
423	1175	1597
424	1178	1594
425	1181	1591
426	1183	1588
427	1186	1585
428	1188	1581
429	1190	1578
430	1194	1576
431	1196	1573
432	1199	1570
433	1201	1567
434	1204	1564
435	1206	1560
436	1209	1558
437	1211	1554
438	1213	1551
439	1215	1547
440	1218	1544
441	1221	1541
442	1224	1539
443	1226	1536
444	1229	1533
445	1231	1529
446	1234	1527
447	1236	1524
448	1238	1520
449	1240	1516
450	1243	1513
451	1246	1511
452	1248	1507
453	1251	1505
454	1253	1501
455	1255	1497
456	1258	1495
457	1261	1492
458	1263	1488
459	1265	1486
460	1268	1482
461	1270	1479
462	1273	1476
463	1275	1473
464	1278	1470
465	1281	1468
466	1283	1465
467	1286	1462
468	1288	1459
469	1290	1455
470	1293	1452
471	1295	1449
472	1298	1446
473	1300	1443
474	1303	1440
475	1305	1436
476	1306	1432
477	1309	1429
478	1311	1426
479	1313	1423
480	1316	1420
481	1318	1416
482	1320	1412
483	1323	1410
484	1325	1407
485	1328	1404
486	1330	1401
487	1332	1397
488	1334	1394
489	1336	1390
490	1338	1387
491	1341	1384
492	1343	1381
493	1346	1378
494	1348	1375
495	1350	1372
496	1352	1368
497	1355	1365
498	1357	1362
499	1359	1359
500	1362	1356
501	1364	1353
502	1366	1350
503	1367	1345
504	1370	1342
505	1372	1339
506	1374	1336
507	1377	1334
508	1379	1331
509	1381	1327
510	1383	1323
511	1385	1320
512	1387	1317
513	1389	1313
514	1392	1311
515	1394	1308
516	1396	1304
517	1398	1301
518	1400	1298
519	1403	1295
520	1405	1292
521	1408	1289
522	1410	1286
523	1412	1283
524	1415	1280
525	1417	1277
526	1419	1274
527	1422	1271
528	1425	1269
529	1427	1266
530	1429	1262
531	1431	1259
532	1434	1256
533	1436	1253
534	1438	1250
535	1441	1247
536	1443	1244
537	1445	1241
538	1447	1238
539	1450	1235
540	1452	1232
541	1454	1228
542	1457	1226
543	1459	1223
544	1461	1220
545	1464	1217
546	1466	1214
547	1468	1211
548	1470	1208
549	1473	1205
550	1475	1202
551	1478	1199
552	1481	1197
553	1483	1194
554	1486	1191
555	1488	1188
556	1491	1185
557	1493	1183
558	1496	1180
559	1498	1177
560	1499	1173
561	1501	1169
562	1503	1166
563	1505	1163
564	1507	1160
565	1509	1157
566	1512	1155
567	1514	1151
568	1516	1148
569	1517	1145
570	1520	1142
571	1522	1139
572	1525	1136
573	1528	1134
574	1530	1130
575	1532	1128
576	1534	1125
577	1537	1122
578	1540	1120
579	1542	1116
580	1544	1114
581	1546	1111
582	1549	1108
583	1552	1105
584	1554	1102
585	1556	1099
586	1559	1097
587	1561	1094
588	1563	1091
589	1566	1088
590	1569	1085
591	1571	1083
592	1574	1080
593	1576	1077
594	1579	1074
595	1581	1072
596	1583	1069
597	1586	1066
598	1589	1064
599	1592	1061
600	1594	1058
601	1596	1055
602	1598	1052
603	1601	1049
604	1603	1047
605	1606	1044
606	1608	1041
607	1611	1038
608	1613	1036
609	1616	1033
610	1618	1030
611	1621	1028
612	1623	1024
613	1625	1022
614	1628	1019
615	1630	1016
616	1632	1013
617	1635	1011
618	1638	1008
619	1640	1005
620	1643	1003
621	1646	1000
622	1648	997
623	1651	994
624	1653	992
625	1656	989
626	1658	986
627	1661	984
628	1663	981
629	1665	978
630	1667	975
631	1670	972
632	1672	969
633	1674	966
634	1677	964
635	1679	961
636	1682	958
637	1683	955
638	1686	952
639	1688	949
640	1691	947
641	1693	944
642	1695	941
643	1698	939
644	1701	936
645	1703	933
646	1706	931
647	1709	928
648	1711	925
649	1714	923
650	1717	920
651	1719	917
652	1722	915
653	1724	912
654	1726	909
655	1729	906
656	1731	904
657	1734	901
658	1736	898
659	1739	896
660	1741	893
661	1744	890
662	1746	887
663	1750	885
664	1752	882
665	1754	880
666	1757	877
667	1759	874
668	1762	871
669	1764	869
670	1767	866
671	1769	863
672	1772	861
673	1774	858
674	1776	855
675	1779	853
676	1781	850
677	1784	847
678	1787	844
679	1789	842
680	1791	839
681	1794	836
682	1797	834
683	1798	831
684	1800	828
685	1803	825
686	1805	822
687	1808	820
688	1811	817
689	1813	814
690	1815	811
691	1817	808
692	1819	806
693	1821	803
694	1824	800
695	1827	798
696	1829	795
697	1832	792
698	1834	790
699	1836	787
700	1839	784
701	1841	781
702	1844	779
703	1846	776
704	1848	773
705	1851	770
706	1853	768
707	1856	765
708	1859	763
709	1860	760
710	1863	757
711	1865	754
712	1867	751
713	1870	749
714	1872	746
715	1876	744
716	1878	741
717	1880	738
718	1882	735
719	1884	732
720	1887	730
721	1889	727
722	1892	724
723	1894	722
724	1896	719
725	1898	716
726	1901	714
727	1904	711
728	1906	708
729	1908	705
730	1911	703
731	1913	700
732	1915	697
733	1917	695
734	1921	692
735	1922	689
736	1924	686
737	1926	683
738	1929	681
739	1931	678
740	1933	675
741	1936	673
742	1938	670
743	1940	667
744	1942	664
745	1944	662
746	1947	659
747	1950	656
748	1952	654
749	1954	651
750	1957	648
751	1960	646
752	1962	643
753	1964	641
754	1967	638
755	1970	635
756	1972	633
757	1975	630
758	1977	627
759	1980	625
760	1982	622
761	1984	619
762	1987	617
763	1989	614
764	1991	611
765	1994	609
766	1996	606
767	1998	603
768	2001	601
769	2003	598
770	2006	596
771	2009	593
772	2012	590
773	2014	588
774	2017	585
775	2020	583
776	2023	580
777	2025	577
778	2027	575
779	2030	572
780	2032	570
781	2035	567
782	2038	564
783	2040	562
784	2043	559
785	2045	557
786	2049	554
787	2051	551
788	2053	549
789	2056	546
790	2058	544
791	2061	541
792	2064	538
793	2066	536
794	2068	533
795	2071	530
796	2073	528
797	2076	525
798	2079	523
799	2081	520
800	2083	517
801	2085	514
802	2088	512
803	2091	509
804	2093	507
805	2096	504
806	2098	501
807	2101	499
808	2103	496
809	2106	494
810	2109	491
811	2111	488
812	2114	486
813	2116	483
814	2119	481
815	2122	478
816	2125	475
817	2127	473
818	2129	470
819	2132	468
820	2135	465
821	2138	462
822	2140	460
823	2142	457
824	2144	454
825	2147	452
826	2149	449
827	2152	447
828	2155	444
829	2158	442
830	2161	439
831	2163	436
832	2166	434
833	2169	431
834	2171	429
835	2174	426
836	2176	423
837	2179	421
838	2182	418
839	2185	416
840	2187	413
841	2190	411
842	2193	408
843	2195	405
844	2198	403
845	2201	400
846	2204	398
847	2206	395
848	2207	392
849	2210	390
850	2214	387
851	2217	385
852	2221	382
853	2224	380
854	2226	377
855	2230	375
856	2233	372
857	2236	370
858	2239	367
859	2241	364
860	2245	362
861	2248	359
862	2251	357
863	2254	354
864	2257	352
865	2260	349
866	2263	347
867	2267	344
868	2269	342
869	2272	339
870	2275	337
871	2278	334
872	2283	332
873	2286	329
874	2289	327
875	2293	324
876	2295	321
877	2298	319
878	2301	316
879	2305	314
880	2308	311
881	2311	309
882	2314	306
883	2317	304
884	2321	301
885	2323	299
886	2327	296
887	2330	293
888	2333	291
889	2336	288
890	2339	286
891	2342	283
892	2346	281
893	2349	278
894	2353	276
895	2356	273
896	2358	270
897	2361	268
898	2364	265
899	2367	263
900	2371	260
901	2374	257
902	2377	255
903	2379	252
904	2382	250
905	2385	247
906	2388	244
907	2391	242
908	2393	239
909	2397	237
910	2400	234
911	2403	231
912	2406	229
913	2409	226
914	2412	224
915	2415	221
916	2417	218
917	2420	216
918	2423	213
919	2427	211
920	2430	208
921	2433	205
922	2437	203
923	2440	200
924	2443	198
925	2447	195
926	2449	192
927	2452	190
928	2456	187
929	2458	185
930	2461	182
931	2464	179
932	2467	177
933	2470	174
934	2472	171
935	2475	169
936	2477	166
937	2480	163
938	2484	161
939	2487	158
940	2489	156
941	2492	153
942	2495	150
943	2497	148
944	2501	145
945	2504	142
946	2506	140
947	2509	137
948	2511	134
949	2514	132
950	2518	129
951	2521	127
952	2523	124
953	2526	121
954	2531	119
955	2534	116
956	2537	114
957	2539	111
958	2543	108
959	2546	106
960	2549	103
961	2552	100
962	2554	98
963	2556	95
964	2559	92
965	2563	90
966	2565	87
967	2568	84
968	2570	82
969	2573	79
970	2574	76
971	2577	74
972	2580	71
973	2583	68
974	2585	66
975	2589	63
976	2592	61
977	2594	58
978	2597	55
979	2600	53
980	2602	50
981	2606	47
982	2609	45
983	2612	42
984	2615	39
985	2618	37
986	2622	34
987	2625	31
988	2629	29
989	2632	26
990	2636	23
991	2639	21
992	2642	18
993	2645	15
994	2648	13
995	2651	10
996	2654	7
997	2658	5
998	2661	2
999	2664	0
